stock,date,author
Z,2021-03-30,Gary Alexander
AMZN,2021-03-29,Vince Martin
BABA,2021-03-29,Julian Lin
NIO,2021-03-29,ALT Perspective
DISCK,2021-03-29,Exile of the Mainstream
PLTR,2021-03-28,Gary Alexander
ASHR,2021-03-28,ALT Perspective
LITB,2021-03-28,BOOX Research
AIQUF,2021-03-27,The Investment Doctor
CEQP,2021-03-26,CashFlow Hunter
ZS,2021-03-26,Cestrian Capital Research
NET,2021-03-25,Julian Lin
MSFT,2021-03-22,Cestrian Capital Research
EDVMF,2021-03-21,Taylor Dart
BABA,2021-03-21,ALT Perspective
AVID,2021-03-20,BOOX Research
CURI,2021-03-20,The Abstract Investor
HIG,2021-03-19,Stephen Simpson
VYGVF,2021-03-18,Beth Kindig
PRTS,2021-03-17,Jeremy Blum
NEM,2021-03-17,Taylor Dart
FSLY,2021-03-17,Convequity
GOOG,2021-03-16,Vincent Ventures
UAN,2021-03-14,Courage & Conviction Investing
CQQQ,2021-03-14,ALT Perspective
LBLCF,2021-03-13,The Investment Doctor
ESNT,2021-03-12,Jeremy Blum
AMZN,2021-03-12,ALT Perspective
RBLX,2021-03-12,Trading Places Research
CVS,2021-03-10,The Value Pendulum
DOCU,2021-03-10,Cestrian Capital Research
AAPL,2021-03-10,Trading Places Research
CURLF,2021-03-09,Julian Lin
TDOC,2021-03-09,Cestrian Capital Research
CVS,2021-03-09,Logan Kane
DKNG,2021-03-08,Gary Alexander
BIDU,2021-03-07,ALT Perspective
RGLD,2021-03-06,Taylor Dart
BRK.A,2021-03-05,Jim Sloan
SHMP,2021-03-05,Hapax Capital
PLTR,2021-03-05,Yves Sukhu
MU,2021-03-04,Logan Kane
SAVA,2021-03-04,Joe Springer
FB,2021-03-03,Fishtown Capital
LMT,2021-03-03,Exile of the Mainstream
FSLY,2021-03-02,Bert Hochfeld
FB,2021-03-01,Chuck Walston
BABA,2021-02-28,ALT Perspective
TORXF,2021-02-28,Taylor Dart
VST,2021-02-28,Trading Places Research
SGSVF,2021-02-27,Taylor Dart
BRK.A,2021-02-26,Jim Sloan
TSM,2021-02-25,Trading Places Research
GME,2021-02-25,Biotech Beast
PANW,2021-02-24,Cestrian Capital Research
MAC,2021-02-21,Kingdom Capital
BIDU,2021-02-21,ALT Perspective
OPYGY,2021-02-20,The Investment Doctor
PLTR,2021-02-19,Cestrian Capital Research
BABA,2021-02-18,ALT Perspective
AAPL,2021-02-17,James Emanuel
TRIT,2021-02-16,1035 Capital Management
AMZN,2021-02-16,Fishtown Capital
WFC,2021-02-16,Jeremy Blum
FB,2021-02-12,Thomas Lott
MKTY,2021-02-11,Kingdom Capital
TCEHY,2021-02-11,ALT Perspective
XOM,2021-02-08,Logan Kane
ASHR,2021-02-07,ALT Perspective
NIO,2021-02-05,ALT Perspective
FB,2021-02-04,Cory Cramer
FUBO,2021-02-04,Logan Kane
NMRD,2021-02-03,Aaron Warwick
AMD,2021-02-02,James Emanuel
ASHR,2021-02-01,ALT Perspective
CAHPF,2021-01-30,Taylor Dart
AAPL,2021-01-30,Trading Places Research
BABA,2021-01-29,ALT Perspective
TDOC,2021-01-28,James Emanuel
BTNB,2021-01-26,Chris DeMuth Jr.
SPCE,2021-01-25,Chris DeMuth Jr.
FB,2021-01-25,Stanislas Capital
ALPIB,2021-01-23,The Investment Doctor
NCNO,2021-01-23,Cestrian Capital Research
SNV,2021-01-23,Sheen Bay Research
GME,2021-01-22,Josh Young
WFC,2021-01-22,Richard J. Parsons
UWMC,2021-01-22,"Andrew Walker, CFA"
ALK,2021-01-21,Tim Dunn
DM,2021-01-21,Chris DeMuth Jr.
AMZN,2021-01-21,James Emanuel
LAZR,2021-01-20,Chris DeMuth Jr.
BKCQF,2021-01-19,Chris DeMuth Jr.
BABA,2021-01-19,ALT Perspective
PVG,2021-01-18,Taylor Dart
IAG,2021-01-18,Taylor Dart
GS,2021-01-18,IP Banking Research
ANXGF,2021-01-16,Taylor Dart
T,2021-01-15,Analystman
QCOM,2021-01-13,Trading Places Research
MP,2021-01-13,Chris DeMuth Jr.
ZOM,2021-01-12,Mossy Harbor Analytics
BABA,2021-01-11,ALT Perspective
PLTR,2021-01-11,Convequity
QS,2021-01-11,Chris DeMuth Jr.
SFTBY,2021-01-08,Chris DeMuth Jr.
NVAX,2021-01-07,Biotech Beast
BRK.A,2021-01-06,Fishtown Capital
POWW,2021-01-05,Moon Kil Woong
BABA,2021-01-04,ALT Perspective
BRK.A,2021-01-04,Jim Sloan
KRMD,2021-01-03,Quim Abril Auladell
APPS,2020-12-31,Cobiaman
MSFT,2020-12-29,Librarian Capital
CQQQ,2020-12-28,ALT Perspective
BAC,2020-12-28,IP Banking Research
BABA,2020-12-27,ALT Perspective
KL,2020-12-27,Taylor Dart
ALSWF,2020-12-26,The Investment Doctor
MSGE,2020-12-24,Dane Bowler
C,2020-12-24,IP Banking Research
LMT,2020-12-22,Valkyrie Trading Society
NFLX,2020-12-18,Akram's Razor
MS,2020-12-17,IP Banking Research
AMZN,2020-12-16,The Battle Of Giants
BIDU,2020-12-14,ALT Perspective
AAPL,2020-12-14,Vincent Ventures
DIS,2020-12-12,The Entertainment Oracle
ABNB,2020-12-11,MillennialMKTS
TWLO,2020-12-10,Cestrian Capital Research
BRK.A,2020-12-09,Jim Sloan
LAZR,2020-12-09,ASB Capital
BRK.B,2020-12-09,Left Shark Investing
XOM,2020-12-08,Logan Kane
BABA,2020-12-07,ALT Perspective
NEM,2020-12-06,Taylor Dart
FROG,2020-12-03,Bert Hochfeld
SQ,2020-12-02,The Abstract Investor
AEM,2020-12-01,Taylor Dart
TSLA,2020-12-01,ALT Perspective
PLTR,2020-12-01,Laurentian Research
BABA,2020-11-30,ALT Perspective
LOGI,2020-11-29,Steven Miller
LAZR,2020-11-28,ASB Capital
ARKK,2020-11-27,Cestrian Capital Research
VTRS,2020-11-26,Valkyrie Trading Society
GLAXF,2020-11-25,Valkyrie Trading Society
BAC,2020-11-25,IP Banking Research
PLTR,2020-11-24,Vincent Ventures
BIDU,2020-11-23,ALT Perspective
XLE,2020-11-23,J Mintzmyer
ROGFF,2020-11-22,Taylor Dart
TORXF,2020-11-22,Taylor Dart
KHC,2020-11-20,Ian Bezek
AROC,2020-11-18,Darren McCammon
ANET,2020-11-17,Bert Hochfeld
WORK,2020-11-17,Not Boring
GE,2020-11-16,Adam Levine-Weinberg CFA
BABA,2020-11-16,ALT Perspective
BAC,2020-11-16,IP Banking Research
TTCF,2020-11-11,Chris DeMuth Jr.
FSLY,2020-11-09,Bert Hochfeld
BABA,2020-11-09,ALT Perspective
IBM,2020-11-09,Yves Sukhu
SPCE,2020-11-05,Cestrian Capital Research
BABA,2020-11-04,ALT Perspective
PYPL,2020-11-03,Librarian Capital
BABA,2020-11-02,ALT Perspective
ARAY,2020-11-01,Stephen Simpson
PBI,2020-11-01,Courage & Conviction Investing
FHN,2020-10-31,Stephen Simpson
INTC,2020-10-29,Cory Cramer
LUMN,2020-10-29,Valkyrie Trading Society
ALTO,2020-10-29,Henrik Alex
FSLY,2020-10-29,Cestrian Capital Research
ROOT,2020-10-28,Bert Hochfeld
CQQQ,2020-10-26,ALT Perspective
EBC,2020-10-26,Chris DeMuth Jr.
BAC,2020-10-26,Brian Langis
CTVA,2020-10-24,The Investment Doctor
LUV,2020-10-23,Tim Dunn
EBC,2020-10-22,Chris DeMuth Jr.
DIS,2020-10-21,Akram's Razor
DKNG,2020-10-20,Gary Alexander
BRK.A,2020-10-20,Fishtown Capital
BABA,2020-10-19,ALT Perspective
CAHPF,2020-10-19,Taylor Dart
ABNB,2020-10-18,Scott Galloway
GILD,2020-10-18,DoctoRx
WFC,2020-10-16,Thomas J. Hayes
BAC,2020-10-16,Librarian Capital
PBR,2020-10-11,BOOX Research
V,2020-10-09,Librarian Capital
TRGP,2020-10-07,Michael Boyd
BIDU,2020-10-05,ALT Perspective
NUE,2020-10-03,The Investment Doctor
WBA,2020-10-02,Yves Sukhu
NKLA,2020-09-30,Courage & Conviction Investing
BABA,2020-09-28,ALT Perspective
FFIN,2020-09-28,ALG Research
MBSRF,2020-09-26,The Investment Doctor
AYX,2020-09-25,Bert Hochfeld
APXTW,2020-09-21,Chris DeMuth Jr.
JD,2020-09-20,ALT Perspective
ABBV,2020-09-18,Wolf Report
PLTR,2020-09-17,Cestrian Capital Research
MLHR,2020-09-15,Fishtown Capital
ASLE,2020-09-14,Chris DeMuth Jr.
WORK,2020-09-14,Bert Hochfeld
SNOW,2020-09-14,Yves Sukhu
UPS,2020-09-13,DoctoRx
DB,2020-09-12,The Investment Doctor
ZS,2020-09-10,Cestrian Capital Research
BABA,2020-09-08,ALT Perspective
RF,2020-09-07,ALG Research
EBAY,2020-09-06,Paul Franke
DOCU,2020-09-05,"Andres Cardenal, CFA"
QS,2020-09-04,Steve Zachritz
AVGO,2020-09-04,Stephen Simpson
CRWD,2020-09-03,Cestrian Capital Research
WLL,2020-09-02,WYCO Researcher
DEO,2020-09-01,Ian Bezek
ADYEY,2020-09-01,Not Boring
BRK.A,2020-08-31,Ohio Capital Ideas
BIDU,2020-08-31,ALT Perspective
TCEHY,2020-08-30,Not Boring
KO,2020-08-30,Paul Franke
INTC,2020-08-30,Joseph L. Shaefer
NOG,2020-08-28,Harrison Schwartz
IBA,2020-08-28,Ian Bezek
GSL,2020-08-27,J Mintzmyer
DAL,2020-08-26,Tim Dunn
CYDY,2020-08-26,Out of Ignorance
SBLK,2020-08-25,J Mintzmyer
TCEHY,2020-08-25,Not Boring
TSLA,2020-08-24,DoctoRx
BABA,2020-08-24,ALT Perspective
TDOC,2020-08-24,Bert Hochfeld
LOW,2020-08-21,GS Analytics
NVDA,2020-08-21,DoctoRx
LPG,2020-08-20,J Mintzmyer
GTBIF,2020-08-20,Harrison Schwartz
ZM,2020-08-18,DoctoRx
EURN,2020-08-18,J Mintzmyer
FSLY,2020-08-17,Bert Hochfeld
INFO,2020-08-17,ALT Perspective
AYX,2020-08-14,Niki Schranz
INTC,2020-08-13,The FALCON Method
GPRK,2020-08-12,Laurentian Research
NFLX,2020-08-11,The Long-winded
TEAM,2020-08-11,Bert Hochfeld
BMY,2020-08-11,Thomas Lott
AZN,2020-08-10,Intrepid Investor
BABA,2020-08-10,ALT Perspective
BRK.A,2020-08-10,Exile of the Mainstream
